Wavelength (nm),Sum(calc),H I (2.9e-5),He I (1.0e-4),He II (2.5e-10),N I (9.5e-5),N II (5.3e-6),N III (2.7e-14),O I (9.7e-5),O II (3.3e-6),O III (2.3e-16),Si I (1.1e-6),Si II (8.9e-6),Si III (7.3e-9),Ar I (9.5e-1),Ar II (4.7e-2),Ar III (4.7e-9),Mn I (6.5e-7),Mn II (1.9e-5),Fe I (4.4e-7),Fe II (9.5e-6),Fe III (2.2e-8),Cu I (8.6e-7),Cu II (9.1e-6),La I (6.8e-8),La II (8.3e-6),W I (4.7e-7),W II (9.5e-6),W III (2.7e-8)
196.5,8.487e-20,,,,,,,,,,,,,,,,,,,,8.487e-20,,,,,,,
196.7,3.183e-12,,,,,,,,,,,,8.042e-25,,,,,5.645e-15,,3.177e-12,8.569e-18,,,,,,,4.241e-16
196.8,2.329e-11,,,,,,,,,,,,6.245e-24,,,,,4.652e-14,,2.324e-11,6.430e-17,,,,,,,3.496e-15
196.9,1.603e-10,,,,,,,,,,,,4.562e-23,,,,,3.606e-13,,1.599e-10,4.547e-16,,,,,,,2.711e-14
197.0,1.038e-9,,,,,,,,,,,1.322e-17,3.134e-22,,,,,2.630e-12,,1.035e-9,3.021e-15,,,,,,,1.978e-13
197.2,3.619e-8,,,,,,,,,,,8.342e-16,1.232e-20,,,,,1.164e-10,,3.607e-8,1.114e-13,,,,,,,8.762e-12
197.3,1.950e-7,,,,,,,,,,,6.047e-15,7.043e-20,,,,,7.068e-10,,1.942e-7,6.180e-13,,,,,,,5.321e-11
197.4,9.883e-7,,,,,,,,,,,4.124e-14,3.789e-19,,,,,4.036e-9,,9.840e-7,3.230e-12,,,,,,,3.040e-10
197.5,4.712e-6,,,,,,,,,,,2.646e-13,1.917e-18,,,,,2.168e-8,,4.689e-6,1.591e-11,,,,,,,1.633e-9
197.7,8.915e-5,,,,,,,,,,,9.075e-12,4.086e-17,,,,,5.208e-7,,8.859e-5,3.226e-10,,,,,,,3.926e-8
197.8,3.538e-4,,,,,,,,,,,4.850e-11,1.721e-16,,,,,2.329e-6,,3.513e-4,1.329e-9,,1.706e-14,,,,,1.756e-7
197.9,1.321e-3,,,,,,,,,,,2.439e-10,6.817e-16,,,,,9.798e-6,,1.310e-3,5.161e-9,,1.374e-13,,,,,7.388e-7
198.0,4.639e-3,,,,,,,,,,,1.154e-9,2.540e-15,,,,,3.877e-5,,4.597e-3,1.889e-8,,1.041e-12,,,,,2.924e-6
198.2,4.763e-2,,,,,,,,2.238e-24,,,2.151e-8,2.936e-14,,,,,5.054e-4,,4.709e-2,2.124e-7,,5.096e-11,,,,,3.813e-5
198.3,1.393e-1,,,,,,,,1.789e-23,,,8.477e-8,9.106e-14,,,,,1.665e-3,,1.375e-1,6.528e-7,,3.234e-10,,,,,1.256e-4
198.4,3.831e-1,,,,,,,,1.346e-22,,,3.143e-7,2.657e-13,,,,,5.158e-3,,3.776e-1,1.894e-6,,1.934e-9,,,,,3.894e-4
198.5,9.915e-1,,,,,,,,9.598e-22,,,1.096e-6,7.292e-13,,,,,1.504e-2,,9.754e-1,5.189e-6,,1.090e-8,,,,,1.135e-3
198.7,5.531e+0,,,,,,,,4.034e-20,,,1.111e-5,4.571e-12,,,,,1.064e-1,,5.416e+0,3.290e-5,,2.894e-7,,,,,8.033e-3
198.8,1.192e+1,,,,,,,,2.390e-19,,,3.229e-5,1.044e-11,,,,,2.581e-1,,1.164e+1,7.622e-5,,1.365e-6,,,,,1.949e-2
198.9,2.418e+1,,,,,,,,1.333e-18,,,8.826e-5,2.244e-11,,,,,5.890e-1,,2.355e+1,1.673e-4,1.256e-13,6.071e-6,,,,,4.450e-2
199.0,4.615e+1,,,,,,,,7.008e-18,,,2.270e-4,4.537e-11,,,,,1.265e+0,,4.479e+1,3.480e-4,9.881e-13,2.547e-5,,,,,9.557e-2
199.2,1.401e+2,,,,,,,,1.618e-16,,,1.251e-3,1.545e-10,,,,,4.854e+0,,1.349e+2,1.288e-3,5.111e-11,3.765e-4,,,,,3.669e-1
